"dataset","protocol","species","tissue.type","n_samples","n_genes","n_classes","max_class_perc","min_class_perc","measure",method,score
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","mctsne",0.483048122475809
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","nmf",0.391086332211756
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","nmf2",0.275935476861436
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","nsnmf",0.813224730771396
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","pca",0.382226776905628
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","phate",0.645623350523767
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","pmf",0.655069374075735
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","psmf",0.31523970054216
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","saucie",-0.00325106959815322
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","snmf",0.433017844019921
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","spca",0.390341713684294
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","spca.batch",0.385628813955323
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","spectral",0.600395265667913
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","srp",0.252208438681698
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","tsvd",0.382008487758122
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","umap",0.862749879330969
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","vasc",0.446629406082353
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","vpac",1
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_euc","zifa",0.29266731029884
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","bd",0.690898925228322
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","fa",0.770284710549288
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","fica",0.213083132824997
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","grp",0.918463582964915
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","icm",0.559007462280627
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","ipca",0.95925441219049
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","isomap",0.746257527011776
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","ivis",0.626716001294681
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","kpca.cos",0.921657019325535
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","kpca.pol",0
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","kpca.rbf",0.229876763484786
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","lda",0.844051899988513
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","lle",0.687703591691217
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","lsnmf",0.319701652889258
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","mctsne",0.372415173030963
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","nmf",0.876145982754471
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","nmf2",0.625030548616425
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","nsnmf",1
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","pca",0.733101866890729
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","phate",0.682577364916874
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","pmf",0.662785893034142
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","psmf",0.398679394854617
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","saucie",-0.209873360157532
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","snmf",0.699472546470229
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","spca",0.742049126848329
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","spca.batch",0.727948866608718
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","spectral",0.235453540986891
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","srp",0.630170958902642
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","tsvd",0.919728228896243
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","umap",0.820792262942523
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","vasc",0.4497444816906
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","vpac",0.870679420014747
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cor","zifa",0.377345674127018
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","bd",0.310137082877115
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","fa",0.554268975791903
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","fica",0.302737136524839
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","grp",0.397989638663248
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","icm",0.263944765072288
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","ipca",0.302737144090037
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","isomap",0.46140329884403
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","ivis",0.452269210696161
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","kpca.cos",0.837326105541627
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","kpca.pol",0
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","kpca.rbf",0.144397422659412
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","lda",0.804334413500983
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","lle",0.826496450855291
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","lsnmf",0.204565153058956
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","mctsne",0.461949281990824
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","nmf",0.311215691679994
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","nmf2",0.239779470621614
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","nsnmf",0.717579873192819
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","pca",0.302737144090037
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","phate",0.664358266627897
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","pmf",0.651775819736597
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","psmf",0.234875575438083
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","saucie",-0.046848424414647
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","snmf",0.3906862616183
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","spca",0.302736007411491
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","spca.batch",0.268769771607667
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","spectral",0.587139922869279
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","srp",0.161763868770795
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","tsvd",0.310669840852613
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","umap",0.841606170198728
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","vasc",0.410161910704948
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","vpac",1
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_seu","zifa",0.241292045466342
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","bd",0.688236681349786
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","fa",0.678124948008533
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","fica",0.411411892041759
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","grp",0.923689545310742
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","icm",0.538933176605939
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","ipca",0.731217968859845
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","isomap",0.781560247276511
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","ivis",0.594521573704075
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","kpca.cos",0.930876404186815
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","kpca.pol",0
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","kpca.rbf",0.224247536987682
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","lda",0.830939346573295
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","lle",0.728005603565448
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","lsnmf",0.255947770683905
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","mctsne",0.445197130283709
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","nmf",0.889529354844105
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","nmf2",0.606323870417256
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","nsnmf",1
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","pca",0.731030558644203
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","phate",0.856737097504746
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","pmf",0.69158377244794
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","psmf",0.321161418733355
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","saucie",-0.210807091137988
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","snmf",0.805485955323418
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","spca",0.742491148017997
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","spca.batch",0.687173767574006
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","spectral",0.309536894843398
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","srp",0.63433683777422
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","tsvd",0.925535064773417
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","umap",0.849361774065825
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","vasc",0.464266976382476
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","vpac",0.875529716185366
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"ss_cos","zifa",0.336422386132466
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","bd",0.515155971793025
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","fa",0.481012748961095
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","fica",0.41692739266057
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","grp",0.335205300727445
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","icm",0.521779897667294
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","ipca",0.412152472271021
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","isomap",0.383224497012905
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","ivis",0.438488500189438
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","kpca.cos",0.734948053593699
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","kpca.pol",0
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","kpca.rbf",0.0298546837166526
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","lda",1
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","lle",0.786393841680446
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","lsnmf",0.387922269147805
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","mctsne",0.343056663866456
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","nmf",0.551319383778708
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","nmf2",0.398451902715737
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","nsnmf",0.720917318628937
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","pca",0.412152472271021
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","phate",0.747520325061159
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","pmf",0.657621224849197
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","psmf",0.443784583294106
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","saucie",-1.94173426568905
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","snmf",0.530749984230237
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","spca",0.41215233542653
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","spca.batch",0.429757476120549
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","spectral",0.61298309217459
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","srp",0.351004249976574
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","tsvd",0.386044013553487
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","umap",0.626974364827114
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","vasc",0.391392844760997
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","vpac",0.959179702765969
"baron-human","inDrop","human","pancreas",8569,20125,14,0.2946668,0.0008168981,"vrc","zifa",0.438329053197806
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","bd",0.328371583181311
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","fa",0.822850594842822
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","fica",0.392372648722492
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","grp",0.556823406431294
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","icm",0.543800847903771
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","ipca",0.543156900539213
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","isomap",0.601225263972186
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","ivis",0.891575237171416
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","kpca.cos",0.855393199063647
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","kpca.pol",-0.0147352512293308
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","kpca.rbf",0.219061935333066
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","lda",0.883957121722195
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","lle",1
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","lsnmf",0.323392737421263
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","mctsne",0.669267725831599
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","nmf",0.5739767660458
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","nmf2",0.313380507501922
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","nsnmf",0.84891394781524
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","pca",0.543014129293101
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","phate",0.413437544872161
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","pmf",0.707916219182747
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","psmf",0.551341386188898
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","saucie",0
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","snmf",0.491632603086228
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","spca",0.54876783218859
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","spca.batch",0.547292023511517
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","spectral",0.546606984365837
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","srp",0.498957589034512
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","tsvd",0.54271513340864
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","umap",0.804302065615283
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","vasc",0.391092408743239
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","vpac",0.435933838601469
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_euc","zifa",0.421832312597277
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_cor","bd",0.704411691781722
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_cor","fa",0.6621229715322
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_cor","fica",0.445013333289929
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_cor","grp",0.89386346572839
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_cor","icm",0.771454323542841
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_cor","ipca",0.677126149161654
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_cor","isomap",0.747241771847267
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_cor","ivis",0.567024268322576
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_cor","kpca.cos",0.906665399797321
