file,n_samples,n_genes,n_classes,max_class_perc,min_class_perc,cell_types
marques.rds,5053,23556,13,0.1824659,0.01504057,OPC; PPR; MFOL2; MOL3; MOL6; MOL5; NFOL2; MOL1; NFOL1; COP; MFOL1; MOL4; MOL2,
muraro.rds,2126,19127,10,0.3819379,0.001411101,alpha; ductal; endothelial; delta; acinar; beta; unclear; gamma; mesenchymal; epsilon,
patel.rds,430,5948,5,0.2744186,0.1627907,MGH26; MGH28; MGH29; MGH30; MGH31,
pollen.rds,301,23730,11,0.179402,0.02325581,2338; 2339; K562; BJ; HL60; hiPSC; Kera; GW21+3; GW21; NPC; GW16,
romanov.rds,2881,24341,7,0.3474488,0.01666088,oligos; astrocytes; ependymal; microglia; vsm; endothelial; neurons,
segerstolpe.rds,3514,25525,15,0.3713717,0.000569152,not applicable; delta; alpha; gamma; ductal; acinar; beta; unclassified endocrine; co-expression; MHC class II; PSC; endothelial; epsilon; mast; unclassified,
shekhar.rds,27499,13166,6,0.8543583,0.001745518,bipolar; unknown; amacrine; muller; rods; cones,
TabulaMuris_Bladder_10X.rds,2500,23433,5,0.4744,0,mesenchymal cell; bladder cell; endothelial cell; basal cell of urothelium; leukocyte,
TabulaMuris_Bladder_FACS.rds,1638,23433,4,0.4004884,0,mesenchymal cell; bladder cell; NA; basal cell of urothelium,
TabulaMuris_Brain_Microglia_FACS.rds,4762,23433,3,0.9090718,0,microglial cell; macrophage; NA,
TabulaMuris_Brain_Neurons_FACS.rds,5799,23433,11,0.204518,0,Bergmann glial cell; NA; oligodendrocyte; neuron; unknown; astrocyte of the cerebral cortex; oligodendrocyte precursor cell; endothelial cell; brain pericyte; smooth muscle cell; neuronal stem cell,
TabulaMuris_Colon_FACS.rds,4149,23433,6,0.4321523,0,NA; epithelial cell of large intestine; large intestine goblet cell; enterocyte of epithelium of large intestine; enteroendocrine cell; Brush cell of epithelium proper of large intestine,
TabulaMuris_Fat_FACS.rds,5862,23433,11,0.3282156,0,myeloid cell; T cell; B cell; granulocyte; mesenchymal stem cell of adipose; endothelial cell; natural killer cell; epithelial cell; NA; neutrophil; smooth muscle cell,
TabulaMuris_Heart_10X.rds,654,23433,7,0.3394495,0,endothelial cell; fibroblast; cardiac muscle cell; NA; endocardial cell; smooth muscle cell; erythrocyte,
TabulaMuris_Heart_FACS.rds,7115,23433,11,0.293324,0,fibroblast; endothelial cell; smooth muscle cell; endocardial cell; leukocyte; NA; cardiac muscle cell; erythrocyte; unknown; epicardial adipocyte; hematopoietic cell,
TabulaMuris_Kidney_10X.rds,2782,23433,9,0.6905104,0,leukocyte; fenestrated cell; smooth muscle cell; kidney tubule cell; kidney collecting duct cell; macrophage; fibroblast; endothelial cell; NA,
TabulaMuris_Kidney_FACS.rds,865,23433,7,0.3017341,0,kidney collecting duct cell; kidney tubule cell; endothelial cell; NA; fenestrated cell; leukocyte; fibroblast,
TabulaMuris_Liver_10X.rds,1924,23433,3,0.522869,0,hepatocyte; NA; endothelial cell,
TabulaMuris_Liver_FACS.rds,981,23433,6,0.4067278,0,natural killer cell; hepatocyte; Kupffer cell; endothelial cell of hepatic sinusoid; B cell; NA,
TabulaMuris_Lung_10X.rds,1476710,23433,16,0.001715977,0,macrophage; B cell; natural killer cell; T cell; endothelial cell; stromal cell; dendritic cell; leukocyte; monocyte; ciliated cell; type II pneumocyte; NA; unknown; mast cell; mesothelial cell; Clara cell,
TabulaMuris_Lung_FACS.rds,1923,23433,17,0.3837754,0,endothelial cell; stromal cell; type II pneumocyte; B cell; leukocyte; monocyte; dendritic cell; NA; T cell; Clara cell; ciliated cell; natural killer cell; macrophage; mesothelial cell; epithelial cell; lung neuroendocrine cell; type I pneumocyte,
TabulaMuris_Mammary_10X.rds,4481,23433,7,0.3927695,0,luminal cell of lactiferous duct; B cell; stromal cell; T cell; endothelial cell; basal cell; macrophage,
TabulaMuris_Mammary_FACS.rds,2663,23433,5,0.4787833,0,luminal epithelial cell of mammary gland; basal cell; stromal cell; NA; endothelial cell,
TabulaMuris_Marrow_10X.rds,4112,23433,9,0.3358463,0,monocyte; NA; T cell; hematopoietic stem cell; granulocyte; erythrocyte; B cell; macrophage; Fraction A pre-pro B cell,
TabulaMuris_Marrow_FACS.rds,5355,23433,9,0.345098,0,B cell; Fraction A pre-pro B cell; NA; granulocyte; hematopoietic stem cell; monocyte; T cell; natural killer cell; neutrophil,
TabulaMuris_Muscle_10X.rds,4543,23433,9,0.2839533,0,endothelial cell; unknown; T cell; B cell; mesenchymal stem cell; macrophage; chondroblast; NA; skeletal muscle satellite cell,
TabulaMuris_Muscle_FACS.rds,2102,23433,8,0.2597526,0,mesenchymal stem cell; skeletal muscle satellite cell; endothelial cell; B cell; NA; macrophage; T cell; skeletal muscle satellite stem cell,
TabulaMuris_Pancreas_FACS.rds,1961,23433,10,0.2095869,0,NA; leukocyte; pancreatic acinar cell; pancreatic PP cell; pancreatic ductal cell; type B pancreatic cell; endothelial cell; pancreatic stellate cell; pancreatic D cell; pancreatic A cell,
TabulaMuris_Skin_FACS.rds,2464,23433,5,0.5564123,0,keratinocyte stem cell; basal cell of epidermis; epidermal cell; stem cell of epidermis; NA,
TabulaMuris_Spleen_10X.rds,9573,23433,5,0.7026011,0,B cell; T cell; macrophage; dendritic cell; NA,
TabulaMuris_Spleen_FACS.rds,1718,23433,4,0.7206054,0,T cell; B cell; myeloid cell; NA,
TabulaMuris_Thymus_10X.rds,1431,23433,3,0.9203354,0,T cell; stromal cell; NA,
TabulaMuris_Thymus_FACS.rds,1580,23433,3,0.7911392,0,T cell; NA; mesenchymal stem cell,
TabulaMuris_Tongue_10X.rds,7538,23433,3,0.6745821,0,basal cell of epidermis; keratinocyte; unknown,
TabulaMuris_Tongue_FACS.rds,1432,23433,3,0.7213687,0,keratinocyte; basal cell of epidermis; NA,
TabulaMuris_Trachea_10X.rds,1474560,23433,8,0.005360243,0,NA; stromal cell; epithelial cell; leukocyte; neuroendocrine cell; endothelial cell; basal cell of epithelium of trachea; ciliated epithelial cell,
TabulaMuris_Trachea_FACS.rds,1391,23433,5,0.4090582,0,NA; stromal cell; leukocyte; epithelial cell; endothelial cell,
tasic-reads.rds,1679,24150,18,0.163788,0.005360334,Vip; L4; L2/3; L2; Pvalb; Ndnf; L5a; SMC; Glia; L5; Endothelial; Sst; L6b; Sncg; Igtp; L5b; L6a; L6,
tasic-rpkms.rds,1679,24057,18,0.163788,0.005360334,Vip; L4; L2/3; L2; Pvalb; Ndnf; L5a; SMC; Glia; L5; Endothelial; Sst; L6b; Sncg; Igtp; L5b; L6a; L6,
treutlein.rds,80,23271,5,0.5125,0.0375,AT1; BP; AT2; Clara; ciliated,
usoskin.rds,622,25334,4,0.3745981,0.1302251,NP; TH; NF; PEP,
xin.rds,1600,39851,8,0.55375,0.005,beta; beta.contaminated; alpha; alpha.contaminated; delta; gamma; gamma.contaminated; delta.contaminated,
yan.rds,90,20214,6,0.3333333,0.06666667,zygote; 2cell; 4cell; 8cell; 16cell; blast,
zeisel.rds,3005,19972,9,0.3154742,0.008652246,interneurons; s1pyramidal; ca1pyramidal; oligodendrocytes; microglia; endothelial; astrocytes; ependymal; mural,
